run_id,commit_sha,partition,scene_id,fault_id,fault_family,method,seed,expected_rules,observed_rules,true_positive,false_positive,false_negative,detected,valid_repair,incorrect_repair,escalated,validation_ms,repair_ms
B-CPU-DETREp-0001,fb93389,development,pin_insertion,missing_workzone_payload,composition,ablation-fixed-repair-order,0,CSR-SCN-005|CSR-SCN-029,CSR-SCN-005|CSR-SCN-029,2,0,0,1,1,0,0,0.052123,0.265624
B-CPU-DETREp-0001,fb93389,development,pin_insertion,missing_target_component,task,direct-conversion,0,CSR-SCN-008|CSR-SCN-028,,0,0,2,0,0,0,0,0.00112,0.0
B-CPU-DETREp-0001,fb93389,development,pin_insertion,missing_target_component,task,fixed-rule-repair,0,CSR-SCN-008|CSR-SCN-028,CSR-SCN-008|CSR-SCN-028,2,0,0,1,1,0,0,0.052136,0.268384
B-CPU-DETREp-0001,fb93389,development,pin_insertion,missing_target_component,task,ablation-no-provenance,0,CSR-SCN-008|CSR-SCN-028,CSR-SCN-008|CSR-SCN-028,2,0,0,1,1,0,0,0.036638,0.234488
B-CPU-DETREp-0001,fb93389,development,pin_insertion,missing_target_component,task,ablation-no-task-validator,0,CSR-SCN-008|CSR-SCN-028,CSR-SCN-028,1,0,1,0,1,0,0,0.044427,0.243058
B-CPU-DETREp-0001,fb93389,development,pin_insertion,missing_target_component,task,ablation-fixed-repair-order,0,CSR-SCN-008|CSR-SCN-028,CSR-SCN-008|CSR-SCN-028,2,0,0,1,1,0,0,0.047918,0.25936
B-CPU-DETREp-0001,fb93389,development,pin_insertion,missing_task_preconditions,task,direct-conversion,0,CSR-SCN-009,,0,0,1,0,0,0,0,0.001081,0.0
B-CPU-DETREp-0001,fb93389,development,pin_insertion,missing_task_preconditions,task,fixed-rule-repair,0,CSR-SCN-009,CSR-SCN-009,1,0,0,1,1,0,0,0.052893,0.257211
B-CPU-DETREp-0001,fb93389,development,pin_insertion,missing_task_preconditions,task,ablation-no-provenance,0,CSR-SCN-009,CSR-SCN-009,1,0,0,1,1,0,0,0.037036,0.22314
B-CPU-DETREp-0001,fb93389,development,pin_insertion,missing_task_preconditions,task,ablation-no-task-validator,0,CSR-SCN-009,,0,0,1,0,0,1,0,0.0453,0.215653
